@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
2,0,6,0,13,9120,0.802982,2,0.766127,45,1
0,0,0,0,5,3300,0.03605,0,0.23381,30,0
0,0,1,0,7,63588,0.024926,1,0.907239,49,0
1,0,1,0,3,3500,0.375607,0,0.213179,74,0
0,0,0,0,8,3500,0.20994,0,0.754464,39,0
2,0,2,0,13,12454,0.298354,0,0.010352,46,0
2,1,1,3,9,13700,0.382965,3,0.964673,40,1
0,0,1,0,6,0,477,0,0.019657,76,0
2,0,1,0,7,11362,0.209892,0,0.548458,64,0
2,0,1,0,7,3000,0.475841,0,0.025656,38,1
0,0,0,0,4,2500,0.241104,0,1,39,0
0,0,0,0,6,7916,0.085512,0,0.075427,32,0
0,0,1,0,9,2416,0.241622,0,0.04656,58,0
1,0,3,0,14,4676,1.595253,0,0.392248,50,1
0,0,1,0,22,8333,0.097672,0,0.052436,58,0
0,0,1,0,15,5500,0.436103,2,0.392995,58,0
0,0,1,0,6,?,977,0,0.083418,62,0
0,0,2,0,9,7000,0.313812,0,0.186869,57,0
0,0,0,0,7,2230,0.257732,2,0.69333,42,0
1,0,1,0,9,4000,0.567858,3,0.881836,50,0
0,0,2,0,10,3500,0.80834,0,0.304491,52,0
0,0,1,0,14,5700,0.539554,1,0.719985,41,0
0,0,1,1,21,6900,0.25634,0,0.00008,70,0
1,0,2,0,10,3000,0.824725,0,0.72815,31,1
0,0,1,0,5,5750,0.306381,0,0.028562,51,0
0,0,0,0,1,2231,0.008065,0,0.992016,29,0
0,0,1,0,4,13793,0.073148,0,0.070854,55,0
1,0,0,0,10,13000,0.016922,1,0.454972,46,0
0,0,1,0,11,7783,0.241136,0,0.651603,58,0
0,0,0,0,3,5600,0.008034,0,0.0274,69,0
0,0,2,0,10,4500,0.549878,0,0.337521,60,0
0,0,0,0,3,764,0.681046,1,0.006799,27,0
3,0,1,0,13,9455,0.161062,0,0.269484,64,0
1,0,2,0,6,8384,0.262612,0,0.265898,36,0
0,0,2,0,7,?,1824,0,0.142013,67,0
0,0,1,1,15,6793,0.369591,0,0.827708,56,0
1,0,2,0,11,0,3162,0,0.059669,31,0
3,0,2,0,9,10257,0.182882,1,0.133063,49,1
0,0,1,0,5,4800,0.694647,0,0.122296,29,0
1,0,2,0,14,15000,0.270449,0,0.335559,69,0
1,0,2,0,14,10833,0.111132,0,0.183317,52,0
0,0,1,0,3,4500,0.208842,0,0.074862,66,0
2,0,1,0,13,12414,2.604511,0,0.017259,53,0
0,0,2,0,18,4950,0.492022,0,0.054497,56,0
0,0,1,0,10,3300,0.395032,0,0.029164,31,0
1,0,1,0,9,4886,0.316145,0,0,58,0
2,0,2,0,13,4716,0.591478,0,0.734478,45,1
0,1,2,0,10,?,2662,0,0.784836,52,0
1,0,0,0,4,3050,0.368404,0,0.888822,34,0
0,0,1,0,5,3100,0.512415,0,0.791174,44,0
0,1,1,1,11,6500,0.288417,0,0.245353,37,0
0,0,1,0,7,8333,0.258939,0,0.003109,57,0
0,0,0,0,5,10060,0.003479,0,0.018887,80,0
1,0,1,0,4,3000,0.519494,0,0.635415,32,0
0,0,3,0,8,8314,0.664221,0,1,62,0
?,0,4,0,11,?,4739,0,0.041258,61,0
0,0,0,0,4,3500,0.023993,0,0.186988,52,0
1,0,2,0,10,10000,0.108089,0,0.006542,68,0
0,0,0,0,4,?,7,0,0.007508,74,0
0,0,2,0,6,10200,0.149103,0,0.067907,46,0
0,0,0,0,6,8168,0.122904,0,0.015272,68,0
0,0,2,0,11,4500,0.297934,0,0.317976,34,0
0,0,1,0,5,3228,0.633323,0,0.003722,58,0
0,0,2,0,13,19167,0.218854,0,0,59,0
0,0,1,0,12,4500,0.3517,0,0,59,0
0,0,1,0,4,?,994,1,0.175728,43,0
0,0,2,0,7,4550,0.517469,0,0,48,0
2,0,1,0,11,2700,1.065902,0,0.089478,56,0
1,0,1,0,12,4139,1.129227,0,0.773519,63,0
0,0,1,0,5,6799,0.323088,0,0.147996,55,0
0,0,1,0,11,?,3031,0,0.576519,72,0
4,0,1,0,7,5821,0.4337,0,1,38,0
5,0,1,0,14,3000,0.370876,2,0,48,0
1,0,2,0,10,9583,0.563752,0,0.21286,36,0
4,0,2,0,23,12000,0.342971,0,0.121557,58,0
1,0,1,0,5,3477,0.726567,1,0,50,0
0,0,1,0,6,?,2088,0,0.070772,38,0
1,0,2,0,6,5416,1.104301,1,1.046279,47,1
2,0,2,0,9,5146,0.610841,0,0.32372,63,0
0,0,2,0,9,1875,3.382196,2,0.637736,54,0
2,0,1,0,3,1,639.5,0,0.020966,29,0
0,0,0,0,2,?,974,0,1,29,0
3,0,3,0,11,7506,0.543626,0,0.166533,53,0
0,0,0,0,9,10065,0.010928,0,0.068335,75,0
1,0,1,0,6,?,1593,0,0.946964,35,1
1,0,2,0,22,7700,0.667835,0,0.405184,46,0
1,0,1,0,6,?,2177,0,0.055549,65,0
0,0,1,0,11,?,3144,4,0.184987,55,0
0,0,1,0,11,6200,0.477504,0,0.085338,51,1
0,1,0,0,3,2916,0.152897,0,0,25,1
0,0,2,0,7,5000,0.438912,0,0.038335,56,0
3,0,2,0,12,15000,0.470902,0,0.71498,55,0
0,0,2,0,14,6833,0.332016,0,0.043032,64,0
0,2,1,1,7,3500,0.536704,5,1.095083,53,0
0,0,1,0,11,?,2932,0,0,49,0
2,0,0,0,13,1,74.5,0,0.025892,38,1
3,0,1,0,5,21000,0.224466,4,0.762159,44,0
0,0,0,0,7,3300,0.119661,0,0.231692,40,0
0,0,1,0,4,5200,0.181311,0,0.045424,64,0
2,0,2,0,12,9866,0.269281,0,0.311955,61,0
4,0,1,0,6,4800,0.166215,0,0.078739,46,0
0,0,2,0,11,7272,0.429534,0,0.137609,49,0
0,0,1,0,8,9000,0.17387,0,0.030173,64,0
1,0,1,0,8,?,1253,0,0.007507,60,0
0,0,2,0,8,8750,0.420181,0,0.292366,50,0
0,0,2,0,14,?,2826,0,0.208083,64,0
0,0,0,1,4,1937,0.358101,1,1,66,0
2,0,1,0,8,19000,0.183464,0,0.013501,53,0
0,0,2,0,19,?,5223,0,0.655316,63,1
0,0,2,0,4,5250,0.332699,0,0.593985,63,0
0,0,1,0,3,7600,0.045783,0,0.611866,72,0
2,0,0,0,5,3556,0.1535,0,1.953488,38,1
0,0,0,0,3,7704,0.002466,0,0,76,0
0,0,1,0,6,2900,0.588073,0,0.083945,64,0
0,0,2,0,9,12916,0.460246,0,0.034833,67,0
2,0,2,0,17,5833,0.578677,0,0.060375,42,0
?,0,0,0,0,?,0,0,1,28,0
1,0,2,0,6,14000,0.283765,0,0.295928,47,0
1,1,0,0,11,5500,0.209962,1,0.973339,61,1
0,0,0,0,10,10500,0.000286,0,0.002857,73,0
0,0,0,0,0,6000,0.040493,0,1,68,0
0,0,1,0,15,9200,0.14042,2,0.732661,44,0
0,0,0,0,12,4500,0.008887,0,0.012151,78,0
0,0,2,0,9,6625,0.257018,0,0.098113,49,0
0,0,0,0,12,3500,0.151957,7,1.048211,58,1
0,0,0,0,6,7166,0.058323,1,0.752649,33,0
5,0,1,0,9,8500,0.26691,0,0.112321,53,0
1,0,0,0,7,15000,0.123125,1,0.634327,49,0
0,0,0,0,5,?,86,0,0.090615,42,0
1,0,1,0,4,12500,0.12519,0,0.034645,65,0
0,0,1,0,6,?,1612,0,0.027446,54,0
0,0,0,0,5,4991,0.03726,0,0.412399,28,0
0,0,1,0,12,2500,1.117953,0,0.046711,66,0
0,0,0,0,9,2900,0.267149,0,0.019779,76,0
3,0,2,0,11,26484,0.205928,0,0.292645,57,0
0,0,0,0,5,1705,0.637749,1,0.220824,46,1
1,0,1,0,16,7500,0.595654,1,0.909539,53,0
0,0,1,0,6,2652,0.307576,0,0.112855,64,0
0,0,0,0,3,5480,0,0,1,62,0
2,0,2,0,10,5081,0.705628,0,0.191002,54,0
3,0,1,0,9,2300,0.536289,0,0.371875,29,0
0,0,1,0,13,13054,0.083799,0,0.025856,67,0
0,1,0,0,5,2725,0.246515,1,0.547888,29,0
0,0,0,0,5,0,1005,0,0.085152,25,0
0,0,2,0,8,4000,0.787803,0,0.897203,68,0
3,0,1,0,10,6666,0.271186,0,0.035941,46,0
0,0,0,0,1,500,0.075848,0,0.865423,48,0
4,0,1,0,11,11000,0.408872,0,0.696412,52,0
2,0,0,0,14,7750,0.06683,0,0.081238,51,0
0,0,0,0,5,4166,0.144948,0,0.948763,27,0
0,1,1,0,10,7460,0.463611,2,0,32,0
0,0,2,0,10,5500,0.632794,1,0.730272,36,0
1,0,0,0,3,8000,0.043745,0,0.948978,57,0
0,0,1,0,16,6100,0.288477,0,0.022891,37,0
0,0,0,0,9,1244,0.750201,0,0.283822,63,0
0,0,8,0,12,12500,1.24734,0,0.319779,32,0
0,0,0,0,3,2090,0.168341,1,0.067259,29,0
0,0,0,0,0,?,0,0,1,29,0
0,0,0,0,7,3000,0.193935,0,0,29,0
0,0,1,0,7,9230,0.199762,0,0.100773,41,0
0,0,2,0,11,913,1.394967,0,0,61,0
4,0,0,0,9,1984,0.572292,0,0.052653,43,0
1,0,2,0,8,4300,0.426412,0,0.072319,71,0
2,0,1,0,6,16100,0.072915,0,0.20396,46,0
1,0,1,0,6,7523,0.461324,0,0.880371,43,1
1,0,1,0,17,15928,0.381254,0,0.429246,59,0
0,0,0,0,15,?,542,0,0.049529,61,0
0,0,3,0,27,25000,0.218071,1,0.635721,68,1
0,0,5,0,20,?,8380,0,0,58,0
0,2,2,1,5,?,2073,2,0.953344,48,1
